,email_contacts,follower_count,get_directions_clicks,impressions,phone_call_clicks,profile_views,reach,text_message_clicks,website_clicks
2017-10-31 07:00:00+00:00,0,16,0,498,0,70,250,0,1
2017-11-01 07:00:00+00:00,0,21,0,657,0,65,493,0,0
2017-11-02 07:00:00+00:00,0,28,0,1572,0,78,749,0,3
2017-11-03 07:00:00+00:00,0,35,0,1356,0,87,775,0,6
2017-11-04 07:00:00+00:00,0,18,0,679,0,68,341,0,7
2017-11-05 07:00:00+00:00,1,26,0,1603,0,77,971,0,5
2017-11-06 08:00:00+00:00,0,17,0,1919,0,55,878,0,3
2017-11-07 08:00:00+00:00,0,9,0,1161,0,29,646,0,4
2017-11-08 08:00:00+00:00,0,11,0,1548,0,20,1100,0,4
2017-11-09 08:00:00+00:00,0,9,0,1055,0,11,671,0,5
2017-11-10 08:00:00+00:00,0,8,0,1518,0,18,846,0,2
2017-11-11 08:00:00+00:00,0,14,0,1648,0,18,892,0,0
2017-11-12 08:00:00+00:00,0,22,0,1733,0,73,995,0,19
2017-11-13 08:00:00+00:00,0,16,0,422,0,35,268,0,3
2017-11-14 08:00:00+00:00,0,5,0,298,0,19,201,0,4
2017-11-15 08:00:00+00:00,0,5,0,1064,0,32,854,0,6
2017-11-16 08:00:00+00:00,0,3,0,1016,0,25,617,0,3
2017-11-17 08:00:00+00:00,0,11,0,1048,0,15,646,0,2
2017-11-18 08:00:00+00:00,0,5,0,458,0,10,309,0,0
2017-11-19 08:00:00+00:00,0,7,0,951,0,24,658,0,5
2017-11-20 08:00:00+00:00,0,7,0,231,0,21,171,0,1
2017-11-21 08:00:00+00:00,0,2,0,959,0,16,795,0,0
2017-11-22 08:00:00+00:00,0,7,0,1713,0,31,892,0,3
2017-11-23 08:00:00+00:00,0,3,0,672,0,19,469,0,4
2017-11-24 08:00:00+00:00,0,5,0,280,0,11,222,0,1
2017-11-25 08:00:00+00:00,0,5,0,877,0,21,630,0,2
2017-11-26 08:00:00+00:00,0,2,0,244,0,19,190,0,2
2017-11-27 08:00:00+00:00,0,4,0,927,0,19,717,0,1
2017-11-28 08:00:00+00:00,0,9,0,746,0,18,547,0,3
2017-11-29 08:00:00+00:00,0,9,0,353,0,12,259,0,1
2017-11-30 08:00:00+00:00,0,5,0,795,0,20,569,0,6
2017-12-01 08:00:00+00:00,0,5,0,814,0,11,552,0,0
2017-12-02 08:00:00+00:00,0,5,0,798,0,21,550,0,1
2017-12-03 08:00:00+00:00,0,3,0,339,0,21,236,0,1
2017-12-04 08:00:00+00:00,0,5,0,937,0,18,662,0,0
2017-12-05 08:00:00+00:00,0,2,0,389,0,4,294,0,1
2017-12-06 08:00:00+00:00,0,6,0,678,0,15,516,0,1
2017-12-07 08:00:00+00:00,0,0,0,478,0,14,396,0,1
2017-12-08 08:00:00+00:00,0,3,0,782,0,15,499,0,1
2017-12-09 08:00:00+00:00,0,3,0,404,0,15,262,0,3
2017-12-10 08:00:00+00:00,0,4,0,984,0,12,681,0,0
2017-12-11 08:00:00+00:00,0,2,0,400,0,9,323,0,0
2017-12-12 08:00:00+00:00,0,8,0,749,0,13,556,0,3
2017-12-13 08:00:00+00:00,0,2,0,862,0,12,515,0,4
2017-12-14 08:00:00+00:00,0,3,0,850,0,15,449,0,5
2017-12-15 08:00:00+00:00,0,4,0,834,0,13,522,0,0
2017-12-16 08:00:00+00:00,0,1,0,324,0,9,224,0,2
2017-12-17 08:00:00+00:00,0,1,0,150,0,7,91,0,0
2017-12-18 08:00:00+00:00,0,2,0,1374,0,9,759,0,2
2017-12-19 08:00:00+00:00,0,1,0,962,0,2,567,0,0
2017-12-20 08:00:00+00:00,0,2,0,181,0,4,117,0,0
2017-12-21 08:00:00+00:00,0,0,0,577,0,1,359,0,0
2017-12-22 08:00:00+00:00,0,3,0,1043,0,19,521,0,1
2017-12-23 08:00:00+00:00,0,1,0,249,0,9,170,0,0
2017-12-24 08:00:00+00:00,0,2,0,142,0,6,98,0,1
2017-12-25 08:00:00+00:00,0,2,0,93,0,6,66,0,1
2017-12-26 08:00:00+00:00,0,1,0,32,0,5,25,0,0
2017-12-27 08:00:00+00:00,0,6,0,79,1,20,36,0,0
2017-12-28 08:00:00+00:00,0,5,0,58,0,10,36,0,3
2017-12-29 08:00:00+00:00,0,4,0,745,0,15,608,0,0
2017-12-30 08:00:00+00:00,0,3,0,197,0,9,177,0,0
2017-12-31 08:00:00+00:00,0,2,0,375,0,8,269,0,0
2018-01-01 08:00:00+00:00,0,1,0,491,0,7,409,0,0
2018-01-02 08:00:00+00:00,0,5,0,151,0,13,92,0,4
2018-01-03 08:00:00+00:00,0,1,0,68,0,9,58,0,0
2018-01-04 08:00:00+00:00,0,15,0,79,0,43,58,0,5
2018-01-05 08:00:00+00:00,0,4,0,61,0,18,32,0,2
2018-01-06 08:00:00+00:00,0,2,0,40,0,15,23,0,4
2018-01-07 08:00:00+00:00,0,4,0,28,0,13,22,0,1
2018-01-08 08:00:00+00:00,0,6,0,908,0,14,612,0,2
2018-01-09 08:00:00+00:00,0,11,0,1687,0,18,1110,0,4
2018-01-10 08:00:00+00:00,0,13,0,943,0,33,711,0,2
2018-01-11 08:00:00+00:00,0,9,0,898,0,26,649,0,0
2018-01-12 08:00:00+00:00,0,6,0,513,0,15,393,0,0
2018-01-13 08:00:00+00:00,0,4,0,149,0,11,128,0,0
2018-01-14 08:00:00+00:00,0,8,0,124,0,18,97,0,6
2018-01-15 08:00:00+00:00,0,9,0,1382,0,24,1021,0,1
2018-01-16 08:00:00+00:00,0,14,0,255,0,47,190,0,4
2018-01-17 08:00:00+00:00,0,7,0,1016,0,16,700,0,3
2018-01-18 08:00:00+00:00,0,5,0,948,0,25,634,0,8
2018-01-19 08:00:00+00:00,0,3,0,288,0,14,183,0,3
2018-01-20 08:00:00+00:00,0,4,0,872,0,14,564,0,3
2018-01-21 08:00:00+00:00,0,4,0,778,0,15,551,0,4
2018-01-22 08:00:00+00:00,0,30,0,919,0,67,651,0,1
2018-01-23 08:00:00+00:00,0,17,0,1014,0,22,647,0,0
2018-01-24 08:00:00+00:00,0,10,0,248,0,19,179,0,2
2018-01-25 08:00:00+00:00,0,8,0,124,0,16,88,0,2
2018-01-26 08:00:00+00:00,0,3,0,589,1,10,460,0,2
2018-01-27 08:00:00+00:00,0,6,0,489,0,17,327,0,1
2018-01-28 08:00:00+00:00,0,1,0,217,0,11,131,0,0
2018-01-29 08:00:00+00:00,0,8,0,613,0,16,435,0,0
2018-01-30 08:00:00+00:00,0,5,0,238,0,10,169,0,0
2018-01-31 08:00:00+00:00,0,3,0,647,0,8,459,0,0
2018-02-01 08:00:00+00:00,0,4,0,1302,0,30,769,0,4
2018-02-02 08:00:00+00:00,0,4,0,265,0,14,206,0,1
2018-02-03 08:00:00+00:00,0,1,0,534,0,7,385,0,1
2018-02-04 08:00:00+00:00,0,1,0,628,0,12,504,0,3
2018-02-05 08:00:00+00:00,0,4,0,1102,0,28,764,0,4
2018-02-06 08:00:00+00:00,0,8,0,1026,0,36,689,0,9
2018-02-07 08:00:00+00:00,0,7,0,1179,0,41,674,0,2
2018-02-08 08:00:00+00:00,0,3,0,445,0,27,291,0,3
2018-02-09 08:00:00+00:00,0,8,0,671,0,8,504,0,0
2018-02-10 08:00:00+00:00,0,2,0,1133,0,14,747,0,1
2018-02-11 08:00:00+00:00,0,3,0,454,0,16,349,0,1
2018-02-12 08:00:00+00:00,0,2,0,989,0,13,601,0,1
2018-02-13 08:00:00+00:00,0,2,0,352,0,8,268,0,0
2018-02-14 08:00:00+00:00,0,3,0,1002,0,15,603,0,1
2018-02-15 08:00:00+00:00,0,6,0,489,0,11,321,0,0
2018-02-16 08:00:00+00:00,0,1,0,118,0,12,89,0,3
2018-02-17 08:00:00+00:00,0,4,0,77,0,5,59,0,0
2018-02-18 08:00:00+00:00,0,1,0,74,0,3,38,0,0
2018-02-19 08:00:00+00:00,0,1,0,843,0,5,713,0,0
2018-02-20 08:00:00+00:00,0,6,0,348,0,11,285,0,0
2018-02-21 08:00:00+00:00,0,2,0,562,0,6,436,0,1
2018-02-22 08:00:00+00:00,0,1,0,304,0,9,247,0,0
2018-02-23 08:00:00+00:00,0,0,0,142,0,6,112,0,0
2018-02-24 08:00:00+00:00,0,3,0,560,0,8,422,0,1
2018-02-25 08:00:00+00:00,0,2,0,349,0,11,284,0,0
2018-02-26 08:00:00+00:00,0,3,0,802,0,12,612,0,0
2018-02-27 08:00:00+00:00,0,4,0,345,0,14,236,0,0
2018-02-28 08:00:00+00:00,0,2,0,994,0,11,726,0,2
2018-03-01 08:00:00+00:00,0,0,0,181,0,5,157,0,0
2018-03-02 08:00:00+00:00,0,1,0,618,0,10,493,0,0
2018-03-03 08:00:00+00:00,0,0,0,615,0,6,542,0,0
2018-03-04 08:00:00+00:00,0,2,0,155,0,5,131,0,0
2018-03-05 08:00:00+00:00,0,1,0,59,0,7,41,0,0
2018-03-06 08:00:00+00:00,0,0,0,697,0,6,584,0,0
2018-03-07 08:00:00+00:00,0,4,0,913,0,17,665,0,11
2018-03-08 08:00:00+00:00,0,1,0,991,0,6,567,0,0
2018-03-09 08:00:00+00:00,0,1,0,268,0,7,185,0,0
2018-03-10 08:00:00+00:00,0,1,0,75,0,6,61,0,0
2018-03-11 08:00:00+00:00,0,2,0,224,0,7,169,0,0
2018-03-12 07:00:00+00:00,0,1,0,665,0,10,568,0,1
2018-03-13 07:00:00+00:00,0,7,0,850,0,9,681,0,0
2018-03-14 07:00:00+00:00,0,4,0,964,0,8,665,0,0
2018-03-15 07:00:00+00:00,0,3,0,997,0,8,697,0,0
2018-03-16 07:00:00+00:00,0,2,0,234,0,9,179,0,0
2018-03-17 07:00:00+00:00,0,1,0,141,0,17,127,0,0
2018-03-18 07:00:00+00:00,0,3,0,153,0,4,128,0,0
2018-03-19 07:00:00+00:00,0,4,0,58,0,6,53,0,0
2018-03-20 07:00:00+00:00,0,1,0,9,0,6,9,0,0
2018-03-21 07:00:00+00:00,0,6,0,1161,0,12,1005,0,2
2018-03-22 07:00:00+00:00,0,5,0,1267,0,13,967,0,1
2018-03-23 07:00:00+00:00,0,6,0,777,0,12,585,0,1
2018-03-24 07:00:00+00:00,0,5,0,155,0,5,135,0,0
2018-03-25 07:00:00+00:00,0,1,0,59,0,5,42,0,0
2018-03-26 07:00:00+00:00,0,3,0,930,0,7,794,0,2
2018-03-27 07:00:00+00:00,0,3,0,364,0,7,334,0,1
2018-03-28 07:00:00+00:00,0,2,0,905,0,5,686,0,0
2018-03-29 07:00:00+00:00,0,2,0,910,0,17,656,0,3
2018-03-30 07:00:00+00:00,0,4,0,778,0,10,571,0,0
2018-03-31 07:00:00+00:00,0,2,0,1384,0,6,819,0,0
2018-04-01 07:00:00+00:00,0,2,0,287,0,7,213,0,1
2018-04-02 07:00:00+00:00,0,2,0,655,0,1,552,0,0
2018-04-03 07:00:00+00:00,0,3,0,860,0,13,647,0,0
2018-04-04 07:00:00+00:00,0,4,0,394,0,5,256,0,0
2018-04-05 07:00:00+00:00,0,8,0,1019,0,21,713,0,0
2018-04-06 07:00:00+00:00,0,6,0,1239,0,20,811,0,1
2018-04-07 07:00:00+00:00,0,1,0,288,0,16,217,0,0
2018-04-08 07:00:00+00:00,0,0,1,44,0,11,30,0,1
2018-04-09 07:00:00+00:00,0,2,0,140,0,6,78,0,0
2018-04-10 07:00:00+00:00,0,6,0,1269,0,21,816,0,1
2018-04-11 07:00:00+00:00,0,4,0,201,0,8,145,0,0
2018-04-12 07:00:00+00:00,0,6,0,1434,0,44,783,0,1
2018-04-13 07:00:00+00:00,0,11,1,1186,0,25,702,0,4
2018-04-14 07:00:00+00:00,0,2,0,318,0,6,241,0,1
2018-04-15 07:00:00+00:00,0,8,0,1018,0,15,826,0,2
2018-04-16 07:00:00+00:00,0,6,0,1146,0,10,686,0,0
2018-04-17 07:00:00+00:00,0,5,0,439,0,16,319,0,0
2018-04-18 07:00:00+00:00,0,4,0,704,0,11,564,0,1
2018-04-19 07:00:00+00:00,0,1,0,1068,0,9,789,0,1
2018-04-20 07:00:00+00:00,0,2,0,861,0,3,575,0,0
2018-04-21 07:00:00+00:00,0,0,0,1058,0,12,747,0,2
2018-04-22 07:00:00+00:00,0,1,0,1281,0,9,731,0,0
2018-04-23 07:00:00+00:00,0,6,0,380,0,17,290,0,1
2018-04-24 07:00:00+00:00,0,0,0,67,0,8,60,0,0
2018-04-25 07:00:00+00:00,0,2,0,25,0,10,12,0,0
2018-04-26 07:00:00+00:00,0,1,0,799,0,5,682,0,0
2018-04-27 07:00:00+00:00,0,1,0,129,0,6,118,0,0
2018-04-28 07:00:00+00:00,0,7,0,50,0,5,35,0,0
2018-04-29 07:00:00+00:00,0,1,0,8,0,3,7,0,0
2018-04-30 07:00:00+00:00,0,2,0,10,0,1,9,0,0
2018-05-01 07:00:00+00:00,0,0,1,632,0,15,502,0,3
2018-05-02 07:00:00+00:00,0,1,0,288,0,5,256,0,0
2018-05-03 07:00:00+00:00,0,6,0,688,1,6,520,0,0
2018-05-04 07:00:00+00:00,0,1,0,293,0,2,255,0,0
2018-05-05 07:00:00+00:00,0,2,0,647,0,10,147,0,0
2018-05-06 07:00:00+00:00,0,4,0,305,0,2,129,0,0
2018-05-07 07:00:00+00:00,0,4,0,71,0,7,41,0,0
2018-05-08 07:00:00+00:00,0,4,0,29,0,5,11,0,1
2018-05-09 07:00:00+00:00,0,2,0,451,0,8,362,0,0
2018-05-10 07:00:00+00:00,0,2,0,169,0,9,140,0,0
2018-05-11 07:00:00+00:00,0,3,0,30,0,1,25,0,0
2018-05-12 07:00:00+00:00,0,1,0,177,0,2,61,0,0
2018-05-13 07:00:00+00:00,0,3,0,267,0,1,134,0,0
2018-05-14 07:00:00+00:00,0,1,0,304,0,6,111,0,1
2018-05-15 07:00:00+00:00,0,2,0,734,0,12,443,0,3
2018-05-16 07:00:00+00:00,0,7,0,230,0,13,193,0,2
2018-05-17 07:00:00+00:00,0,9,0,1058,0,5,829,0,1
2018-05-18 07:00:00+00:00,0,1,0,403,0,8,346,0,0
2018-05-19 07:00:00+00:00,0,4,0,217,0,1,159,0,0
2018-05-20 07:00:00+00:00,0,2,0,123,0,3,72,0,1
2018-05-21 07:00:00+00:00,0,2,0,9,0,2,9,0,1
2018-05-22 07:00:00+00:00,0,2,0,344,0,4,108,0,0
2018-05-23 07:00:00+00:00,0,0,0,643,0,5,348,0,3
2018-05-24 07:00:00+00:00,0,1,0,89,0,4,75,0,0
2018-05-25 07:00:00+00:00,0,2,0,761,0,7,646,0,1
2018-05-26 07:00:00+00:00,0,2,0,179,0,2,162,0,0
2018-05-27 07:00:00+00:00,0,6,0,106,0,4,74,0,0
2018-05-28 07:00:00+00:00,0,0,0,849,0,7,575,0,0
2018-05-29 07:00:00+00:00,0,1,0,447,0,3,335,0,0
2018-05-30 07:00:00+00:00,0,8,0,124,0,8,86,0,0
2018-05-31 07:00:00+00:00,0,1,0,773,0,7,631,0,2
2018-06-01 07:00:00+00:00,0,8,0,152,0,7,141,0,0
2018-06-02 07:00:00+00:00,0,2,0,825,0,8,672,0,1
2018-06-03 07:00:00+00:00,0,7,0,241,0,10,212,0,0
2018-06-04 07:00:00+00:00,0,19,0,1070,0,88,690,0,3
2018-06-05 07:00:00+00:00,0,17,0,862,0,35,571,0,1
2018-06-06 07:00:00+00:00,0,9,0,202,0,13,153,0,1
2018-06-07 07:00:00+00:00,0,4,0,44,0,4,29,0,0
2018-06-08 07:00:00+00:00,0,6,0,631,0,18,502,0,0
2018-06-09 07:00:00+00:00,0,5,0,201,0,6,177,0,0
2018-06-10 07:00:00+00:00,0,5,0,82,0,5,61,0,0
2018-06-11 07:00:00+00:00,0,1,0,414,0,2,293,0,0
2018-06-12 07:00:00+00:00,0,20,0,846,0,67,529,0,1
2018-06-13 07:00:00+00:00,0,10,0,235,0,32,179,0,1
2018-06-14 07:00:00+00:00,1,17,0,57,0,48,44,0,0
2018-06-15 07:00:00+00:00,0,14,0,85,0,50,32,0,0
2018-06-16 07:00:00+00:00,0,18,0,22,0,43,13,0,0
2018-06-17 07:00:00+00:00,0,5,0,1214,0,36,613,0,0
2018-06-18 07:00:00+00:00,0,13,0,423,0,47,270,0,0
2018-06-19 07:00:00+00:00,0,22,0,144,0,53,75,0,1
2018-06-20 07:00:00+00:00,0,16,0,698,0,40,463,0,1
2018-06-21 07:00:00+00:00,0,9,0,645,0,43,387,0,1
2018-06-22 07:00:00+00:00,0,7,0,895,0,24,589,0,1
2018-06-23 07:00:00+00:00,0,12,1,1496,0,41,1079,0,1
2018-06-24 07:00:00+00:00,0,76,0,1540,0,230,1011,0,6
2018-06-25 07:00:00+00:00,0,34,0,1054,0,79,794,0,4
2018-06-26 07:00:00+00:00,0,33,0,862,0,114,587,0,0
2018-06-27 07:00:00+00:00,0,61,0,746,0,180,451,0,6
2018-06-28 07:00:00+00:00,0,17,0,541,0,54,276,0,1
2018-06-29 07:00:00+00:00,0,51,0,1154,0,225,646,0,2
2018-06-30 07:00:00+00:00,0,29,0,281,0,71,205,0,2
2018-07-01 07:00:00+00:00,0,35,0,1344,0,130,828,0,2
2018-07-02 07:00:00+00:00,0,28,0,901,0,50,538,0,0
2018-07-03 07:00:00+00:00,0,41,0,1742,0,119,1279,0,1
2018-07-04 07:00:00+00:00,0,52,0,1962,0,133,1303,0,1
2018-07-05 07:00:00+00:00,0,28,0,1367,0,115,792,0,3
2018-07-06 07:00:00+00:00,0,35,0,964,0,75,683,0,1
2018-07-07 07:00:00+00:00,0,44,0,574,0,121,299,0,2
2018-07-08 07:00:00+00:00,0,36,0,223,0,97,100,0,1
2018-07-09 07:00:00+00:00,0,39,0,1593,0,176,1256,0,1
2018-07-10 07:00:00+00:00,0,20,0,1062,0,48,734,0,1
2018-07-11 07:00:00+00:00,0,36,0,421,0,110,232,0,1
2018-07-12 07:00:00+00:00,0,28,0,230,0,84,107,0,1
2018-07-13 07:00:00+00:00,0,34,0,784,0,33,635,0,0
2018-07-14 07:00:00+00:00,0,41,0,294,0,76,246,0,0
2018-07-15 07:00:00+00:00,0,33,1,1004,0,90,776,0,4
2018-07-16 07:00:00+00:00,0,14,0,645,0,12,563,0,0
2018-07-17 07:00:00+00:00,0,15,0,155,0,17,115,0,0
2018-07-18 07:00:00+00:00,0,7,0,16,0,8,15,0,0
2018-07-19 07:00:00+00:00,0,5806,0,17,0,24,14,0,0
2018-07-20 07:00:00+00:00,0,11,0,1352,0,13,958,0,1
2018-07-21 07:00:00+00:00,0,7,0,351,0,9,302,0,0
2018-07-22 07:00:00+00:00,0,8,0,138,0,12,87,0,0
2018-07-23 07:00:00+00:00,0,16,0,1166,0,56,921,0,0
2018-07-24 07:00:00+00:00,0,31,0,491,0,120,256,0,1
2018-07-25 07:00:00+00:00,0,41,0,1729,0,132,1143,0,4
2018-07-26 07:00:00+00:00,0,1398,0,800,0,131,537,0,2
2018-07-27 07:00:00+00:00,0,36,0,282,0,94,181,0,2
2018-07-28 07:00:00+00:00,0,32,0,158,0,90,95,0,0
2018-07-29 07:00:00+00:00,0,34,0,1212,0,69,872,0,0
2018-07-30 07:00:00+00:00,0,53,0,288,0,100,205,0,1
2018-07-31 07:00:00+00:00,0,40,0,782,0,109,611,0,1
2018-08-01 07:00:00+00:00,0,56,0,525,0,99,392,0,0
2018-08-02 07:00:00+00:00,0,49,0,207,0,120,101,0,3
2018-08-03 07:00:00+00:00,0,53,0,457,0,93,134,0,0
2018-08-04 07:00:00+00:00,0,108,0,641,0,97,342,0,2
2018-08-05 07:00:00+00:00,0,94,0,1850,0,104,1247,0,0
2018-08-06 07:00:00+00:00,0,94,0,801,0,113,662,0,1
2018-08-07 07:00:00+00:00,0,96,0,625,0,114,224,0,1
2018-08-08 07:00:00+00:00,0,109,0,492,0,100,130,0,1
2018-08-09 07:00:00+00:00,0,108,0,1432,0,76,904,0,6
2018-08-10 07:00:00+00:00,0,89,0,633,0,88,420,0,2
2018-08-11 07:00:00+00:00,0,98,0,242,0,89,177,0,1
2018-08-12 07:00:00+00:00,0,92,0,1004,0,109,783,0,1
2018-08-13 07:00:00+00:00,0,100,1,315,0,94,233,0,2
2018-08-14 07:00:00+00:00,0,85,0,150,0,94,75,0,0
2018-08-15 07:00:00+00:00,0,77,0,112,0,79,36,0,0
2018-08-16 07:00:00+00:00,0,99,0,727,0,70,422,0,2
2018-08-17 07:00:00+00:00,0,86,0,800,0,74,551,0,2
2018-08-18 07:00:00+00:00,0,82,0,225,0,92,115,0,1
2018-08-19 07:00:00+00:00,0,76,0,266,0,72,94,0,2
2018-08-20 07:00:00+00:00,0,83,0,493,0,87,123,0,2
2018-08-21 07:00:00+00:00,0,90,0,910,0,91,716,0,5
2018-08-22 07:00:00+00:00,0,83,0,1530,0,73,1033,0,3
2018-08-23 07:00:00+00:00,0,83,0,505,0,72,375,0,3
2018-08-24 07:00:00+00:00,1,91,0,670,1,76,486,0,0
2018-08-25 07:00:00+00:00,0,93,0,993,0,70,797,0,0
2018-08-26 07:00:00+00:00,0,40,0,221,0,84,181,0,1
2018-08-27 07:00:00+00:00,0,53,0,82,0,87,47,0,0
2018-08-28 07:00:00+00:00,0,78,0,65,0,76,22,0,1
2018-08-29 07:00:00+00:00,0,64,0,1249,0,82,619,0,1
2018-08-30 07:00:00+00:00,0,44,1,1685,0,96,1105,0,1
2018-08-31 07:00:00+00:00,0,49,0,1483,0,86,1038,0,2
2018-09-01 07:00:00+00:00,0,51,0,1231,0,73,828,0,1
2018-09-02 07:00:00+00:00,0,48,0,985,0,85,620,0,2
2018-09-03 07:00:00+00:00,0,41,0,589,0,78,343,0,6
2018-09-04 07:00:00+00:00,0,27,0,1367,0,45,1044,0,0
2018-09-05 07:00:00+00:00,0,9,0,206,0,11,161,0,0
2018-09-06 07:00:00+00:00,0,30,0,966,0,51,783,0,0
2018-09-07 07:00:00+00:00,0,46,0,261,0,74,164,0,2
2018-09-08 07:00:00+00:00,0,47,0,104,0,70,58,0,0
2018-09-09 07:00:00+00:00,0,49,0,138,0,90,34,0,2
2018-09-10 07:00:00+00:00,0,50,0,47,0,65,21,0,0
2018-09-11 07:00:00+00:00,0,50,0,939,0,101,679,0,4
2018-09-12 07:00:00+00:00,0,40,0,873,0,56,537,0,0
2018-09-13 07:00:00+00:00,0,41,0,376,0,81,219,0,0
2018-09-14 07:00:00+00:00,0,38,0,909,0,61,623,0,1
2018-09-15 07:00:00+00:00,0,34,0,1094,0,59,841,0,0
2018-09-16 07:00:00+00:00,0,32,0,3792,0,86,2181,0,1
2018-09-17 07:00:00+00:00,0,38,0,760,0,79,619,0,1
2018-09-18 07:00:00+00:00,0,37,0,239,0,82,164,0,0
2018-09-19 07:00:00+00:00,0,34,0,208,0,101,122,0,2
2018-09-20 07:00:00+00:00,0,52,0,201,0,116,107,0,4
2018-09-21 07:00:00+00:00,0,61,0,226,0,82,119,0,1
2018-09-22 07:00:00+00:00,0,42,0,227,0,73,110,0,0
2018-09-23 07:00:00+00:00,0,32,0,1336,0,68,951,0,1
2018-09-24 07:00:00+00:00,0,51,0,2574,0,94,1643,0,1
2018-09-25 07:00:00+00:00,0,42,0,548,0,66,350,0,2
2018-09-26 07:00:00+00:00,0,36,0,116,0,43,57,0,1
2018-09-27 07:00:00+00:00,0,26,0,997,0,34,785,0,1
2018-09-28 07:00:00+00:00,0,39,0,1700,0,66,1168,0,1
2018-09-29 07:00:00+00:00,1,36,0,504,0,62,331,0,0
2018-09-30 07:00:00+00:00,2,36,0,158,0,56,100,0,1
2018-10-01 07:00:00+00:00,0,42,0,784,0,83,533,0,0
2018-10-02 07:00:00+00:00,0,47,0,1404,0,59,834,0,1
2018-10-03 07:00:00+00:00,0,50,0,1178,0,76,795,0,4
2018-10-04 07:00:00+00:00,0,40,0,442,0,64,317,0,0
2018-10-05 07:00:00+00:00,0,23,0,860,0,47,592,0,2
2018-10-06 07:00:00+00:00,0,41,0,376,0,45,286,0,1
2018-10-07 07:00:00+00:00,0,32,0,1040,0,52,608,0,0
2018-10-08 07:00:00+00:00,0,34,0,667,0,58,356,0,0
2018-10-09 07:00:00+00:00,0,42,0,1404,0,56,977,0,2
2018-10-10 07:00:00+00:00,0,30,0,904,0,65,628,0,6
2018-10-11 07:00:00+00:00,0,29,0,530,0,57,367,0,4
2018-10-12 07:00:00+00:00,0,34,0,827,0,36,584,0,1
2018-10-13 07:00:00+00:00,0,31,0,1591,0,53,939,0,0
2018-10-14 07:00:00+00:00,0,31,0,962,0,57,681,0,0
2018-10-15 07:00:00+00:00,0,35,0,206,0,44,155,0,2
2018-10-16 07:00:00+00:00,0,40,0,122,0,56,35,0,0
2018-10-17 07:00:00+00:00,0,33,0,82,0,60,28,0,1
2018-10-18 07:00:00+00:00,0,39,0,714,0,57,580,0,0
2018-10-19 07:00:00+00:00,0,41,0,201,0,62,142,0,0
2018-10-20 07:00:00+00:00,0,36,0,817,0,43,632,0,0
2018-10-21 07:00:00+00:00,0,30,0,1205,0,51,832,0,0
2018-10-22 07:00:00+00:00,0,35,0,348,0,55,262,0,0
2018-10-23 07:00:00+00:00,0,32,0,143,0,117,92,0,0
2018-10-24 07:00:00+00:00,0,35,0,785,0,42,463,0,0
2018-10-25 07:00:00+00:00,0,28,0,392,0,44,253,0,1
2018-10-26 07:00:00+00:00,0,31,0,144,0,42,84,0,0
2018-10-27 07:00:00+00:00,0,32,0,60,0,32,38,0,0
2018-10-28 07:00:00+00:00,0,27,0,989,0,41,678,0,0
2018-10-29 07:00:00+00:00,0,29,0,883,0,40,665,0,2
2018-10-30 07:00:00+00:00,0,37,0,1633,0,52,945,0,1
2018-10-31 07:00:00+00:00,0,32,0,720,0,43,548,0,0
2018-11-01 07:00:00+00:00,0,29,0,519,0,37,302,0,0
2018-11-02 07:00:00+00:00,0,30,0,343,0,30,208,0,0
2018-11-03 07:00:00+00:00,0,29,0,922,0,19,577,0,1
2018-11-04 07:00:00+00:00,0,34,0,1441,0,17,925,0,0
2018-11-05 08:00:00+00:00,0,29,1,362,0,39,268,0,0
